,net_returns,gross_returns,turnover,eth_beta_rolling,pc1_beta_rolling
2024-08-20,-0.0009143466036489089,-0.00016434660364890886,0.15,0.03891373599221818,-0.00010240379762829265
2024-08-21,0.0005330244895747243,0.001283024489574724,0.14999999999999997,0.03872342274078501,-9.54122565044288e-05
2024-08-22,0.00021357433229347302,0.0009635743322934731,0.15000000000000002,0.038766087367227406,-9.473603951313762e-05
2024-08-23,9.188602440243386e-05,0.0008418860244024335,0.14999999999999994,0.03429261004571501,-2.6054394241091092e-06
2024-08-24,0.0008882292199336743,0.001638229219933674,0.14999999999999997,0.03362970084341521,-1.0207065648656584e-05
2024-08-25,-0.0002897674987222704,0.0004602325012777296,0.15,0.03338130009521348,-2.5220469005765345e-05
2024-08-26,0.001172512893116034,0.001922512893116034,0.15000000000000002,0.03405595530818097,-2.9006780393384947e-05
2024-08-27,0.0027157552916091876,0.003465755291609188,0.15,0.030116321938437194,-8.007955005719243e-06
2024-08-28,0.0033527118974397384,0.004102711897439738,0.15,0.031183960235805875,-3.789556976164086e-05
2024-08-29,-0.0010022551676157317,-0.000252255167615732,0.14999999999999997,0.03175603253529333,-3.390455609079523e-05
2024-08-30,0.003169880387041162,0.003919880387041162,0.14999999999999997,0.03235620512572475,-5.33818904495165e-05
2024-08-31,-0.003088396498659834,-0.002338396498659834,0.15,0.03235189201562741,-4.551496085695845e-05
2024-09-01,-0.0026111319138761983,-0.0018611319138761983,0.15000000000000002,0.034111641769604115,-4.056814973399366e-05
2024-09-02,0.003114828382692469,0.003864828382692469,0.15,0.03073549354414349,-7.66520367062615e-05
2024-09-03,-0.0023360147735531477,-0.0015860147735531475,0.15000000000000002,0.03185462571858385,-7.863521310672803e-05
2024-09-04,1.972950951688204e-06,0.000751972950951688,0.14999999999999997,0.02945632881042931,-0.00011741631744187193
2024-09-05,-0.0018498322487130472,-0.0010998322487130474,0.14999999999999997,0.02910556706893463,-0.00012634842861817215
2024-09-06,0.0008909120934622037,0.0016409120934622037,0.15,0.026654148882936546,-0.00011714130778181606
2024-09-07,-0.0001473873526118654,0.0006026126473881347,0.15000000000000002,0.026772866586875152,-0.00011400022396861136
2024-09-08,-0.0019881004595265223,-0.0012381004595265223,0.15000000000000002,0.027199317080749488,-0.00011903447573543328
2024-09-09,0.004772359310164111,0.005522359310164111,0.14999999999999997,0.02861461555493107,-0.00012299237999891633
2024-09-10,-0.0005299313129403311,0.00022006868705966905,0.15000000000000002,0.028359846592566258,-0.0001227338900793092
2024-09-11,0.0009170124207684468,0.0016670124207684468,0.15,0.02867555262115019,-0.00012170075786027671
2024-09-12,-0.0037793667567444585,-0.0030293667567444587,0.14999999999999997,0.02669674941665119,-0.00012801928583183462
2024-09-13,0.00014765979708702233,0.0008976597970870221,0.14999999999999997,0.021752610269941592,-0.00010400508612808232
2024-09-14,-0.0010867165274782784,-0.00033671652747827865,0.14999999999999997,0.021812727756468482,-0.0001052957325883958
2024-09-15,-0.0002615697862900963,0.0004884302137099037,0.15,0.021731162481871503,-0.00010836171123701134
2024-09-16,-0.00028220461172280797,0.00046779538827719183,0.14999999999999997,0.02238077243148277,-0.0001199933926619749
2024-09-17,-0.004122137588318865,-0.003372137588318865,0.14999999999999997,0.019916357683446566,-0.0001299459775086238
2024-09-18,0.0035669072198409686,0.004316907219840968,0.15,0.02125144828074582,-0.0001233965665683576
