time,MINA,SNX,CELO,GAS,GMT,POLYX,PEOPLE,REQ,YGG,ILV,BNT
2023-11-16,0.001364555,0.0024429908,,0.0027214976,,0.0020700188,,0.0025204077,,,0.000815692
2023-11-17,0.001138745,0.0004925074,,0.0011994278,,0.0008777024,,0.00229707,,0.00037461899999999997,0.0010480115
2023-11-18,0.0005730305,-0.0011847302,,0.0011155825,,8.845280000000001e-05,,0.0007370669000000001,,0.0006169411,0.0007266938
2023-11-19,0.0004284979,0.0007057891,,0.0015694963,,0.0006833454,,0.0008693767,,0.0015377523,0.0001619313
2023-11-20,0.0005644285,0.0028797943,,0.0018452541,,0.001491372,,0.0024267609,,0.0025549943,
2023-11-21,0.000852244,0.0003441709,,0.0013475106,,0.001177907,,0.0014467129999999999,,0.0017798187,
2023-11-22,0.0003623775,5.24595e-05,,0.0008120117,,-0.0002510535,,6.827680000000001e-05,,0.0004955032,
2023-11-23,0.00039474750000000004,0.0006426583,,0.0008259849,,0.0002246379,,0.0001416763,,0.0013064741,
2023-11-24,-1.8399999999999942e-06,-7.305529999999998e-05,,0.00036166890000000003,,0.0006314169,,0.00011868379999999999,,0.0019921622,
2023-11-25,-0.0012388332,-0.0003338372,,0.0010809478,,0.0008207196,,0.000887302,,0.0027341801999999998,
2023-11-26,0.0003630407,-0.000303609,,0.0009805437,7.68863e-05,0.0008616464999999999,,0.0010126059,,0.0020866915,
2023-11-27,0.0005614255,-0.0012208058,,0.0011455032,0.0007152526,0.000775714,,0.0013302357,,5.7731699999999995e-05,
2023-11-28,0.0005229371,-0.0006697787,,0.002095075,8.911940000000001e-05,0.0004111397,,0.0010099591,,0.00048348900000000003,
2023-11-29,0.0003064736,0.0025177361,,0.0023027145,0.0001842749,0.0004627064,,0.0007907133,,0.00010598400000000002,
2023-11-30,0.0002059836,0.0026609808,,0.0026017438,0.000261879,0.0008607572,,0.0009971302,,-0.0012004101,
2023-12-01,-0.0005386311,0.0021814797,,0.0025202523,0.0001138356,0.0011511283,,0.0005635261,,-0.0014543822,
2023-12-02,2.749250000000001e-05,0.0035088528,,0.0025948807,0.0004425693,0.0015485223,,0.0007983861,,0.0003514466,
2023-12-03,0.0001710133,0.0029137116,,0.0028873597999999998,0.0007341956,0.0019681810000000003,,0.0016321387,,0.0022943537,
2023-12-04,0.0015305765,0.002554508,,0.0032644928,0.0016549727,0.0034688332,,0.0013812796,,0.0041873216,
2023-12-05,0.0028223359,0.0022066876,,0.0019110065,0.0012685624000000001,0.0011106472,,0.0004804346,,0.0035523848,
2023-12-06,0.0021127349,0.0034694337,,0.0017656152,0.0020665222,,,0.0002056062,,0.0033712725,
