avg_members,var_removed,density,neg_edge_share,stability_ari,gross_sharpe,net_sharpe,breakeven_bps,turnover,n_rebalances,psr,bracket,treatment,arm,reference,dsr
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,0.09734649447676015,-0.10938574995084248,23.92578125,0.04865851368503775,114,0.37153527642180495,B2,pit,momentum,vw_market,0.011449388581181934
98.53983027648508,0.0,0.23915876888070287,0.04423650190876779,0.47563231340598966,0.011582268298631803,-0.1978739995925191,2.44140625,0.05037517846168347,114,0.2777835224560793,B2,pit,death,vw_market,0.0057814230578251465
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.262148226674806,-0.0863069490017381,37.59765625,0.04690810097478062,108,0.39781975048535567,B2,survivor-only,baseline,vw_market,0.0729603301215735
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,-0.09561752712380556,-0.43392078381459753,0.48828125,0.03361843080029661,108,0.0961066333343586,B2,survivor-only,ou,vw_market,0.0061934486633116355
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,-0.038565290696637375,-0.29610983654347717,0.48828125,0.038231629943878666,108,0.19663988027624718,B2,survivor-only,ou_nofilter,vw_market,0.022650580764757573
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,-0.500664908234182,-0.8434088760170521,0.48828125,0.048996350364963505,108,0.0057616195436990605,B2,survivor-only,beta,vw_market,9.985723395445289e-05
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.05697546339786592,-0.10651275398669934,17.08984375,0.01457419505915316,108,0.3729756667150941,B2,survivor-only,ewma,vw_market,0.0623480184833792
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.17010455380074022,-0.0002939054655167427,50.29296875,0.014658291629526388,108,0.499648129152574,B2,survivor-only,ewma_sized,vw_market,0.1158409711934712
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.0036018775866923564,-0.3238113621641397,0.48828125,0.04488599190563142,108,0.16325435012872702,B2,survivor-only,momentum,vw_market,0.01433832132953312
80.58883109772789,0.0,0.2571999091415632,0.02619688086105593,0.43923944112390395,0.24824664504830252,-0.09911473000426595,35.64453125,0.04690786527108809,108,0.38306944586234476,B2,survivor-only,death,vw_market,0.06778028708333494
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.27790152863545636,-0.42339372779834245,0.48828125,0.05258758663736921,110,0.10706581343286009,B3,pit,baseline,eth,2.708036947908868e-08
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.17792049379539696,-0.30823157808992735,0.48828125,0.039101547850411825,110,0.18498735071542427,B3,pit,ou,eth,2.1538038528972424e-07
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.6794670856574568,-0.8002845078241431,0.48828125,0.03729572904066788,110,0.009216625952957044,B3,pit,ou_nofilter,eth,2.5653956799187744e-11
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.9771662074270431,-1.1384982577483507,0.48828125,0.05259615384615384,110,0.00024058340427874535,B3,pit,beta,eth,1.7054674095958113e-15
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,1.5584160896501495,1.4524130169037073,499.51171875,0.04075062809781967,110,0.9999904377863016,B3,pit,ewma,eth,0.5266912085934479
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,1.6155615031382864,1.5071370010985816,499.51171875,0.04094945353598718,110,0.9999953871054654,B3,pit,ewma_sized,eth,0.590158517141355
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.08653670814729666,-0.23292374705679433,0.48828125,0.051524330544412904,110,0.24795332496386113,B3,pit,momentum,eth,5.853913592815172e-07
261.4473035860936,0.0,0.09504710907954449,0.012209533174072609,0.6366044812956302,-0.14117401078319483,-0.28579126405016203,0.48828125,0.05258777406477501,110,0.20122838305466245,B3,pit,death,eth,2.510286155401295e-07
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,-0.006876411597890283,-0.19631156350167836,0.48828125,0.05252592140814007,115,0.28030080582383154,B3,survivor-only,baseline,eth,0.00039430054964937293
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,1.1106291452667403,0.9514420883341678,348.14453125,0.03864498593541917,115,0.9977306983873621,B3,survivor-only,ou,eth,0.5183183860768259
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,0.9697150789717502,0.8127762022758325,309.08203125,0.038867955624388745,115,0.9924119804543643,B3,survivor-only,ou_nofilter,eth,0.356340601089265
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,0.7391989569697165,0.5188281938404948,167.48046875,0.053471439684672765,115,0.9376540623334365,B3,survivor-only,beta,eth,0.10847676572528764
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,1.4785211369073674,1.395961009659574,499.51171875,0.0326298500860166,115,0.9999845420643244,B3,survivor-only,ewma,eth,0.9150842665625406
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,1.5270948576444436,1.4439359155551115,499.51171875,0.032862438533197445,115,0.9999908627725106,B3,survivor-only,ewma_sized,eth,0.9341217629738234
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,0.31101770285163266,0.1231504478935345,82.51953125,0.051247529450277524,115,0.6423908463708412,B3,survivor-only,momentum,eth,0.008012390060618825
189.38954284150014,0.0,0.16829668664282768,0.009757438447377541,0.6005263352080679,0.08175897544612137,-0.10784764575844567,21.97265625,0.05252547261685036,115,0.3746363203824771,B3,survivor-only,death,eth,0.0009890721629459732
